aalib 1.4rc5-12
haskell-uuid-types 1.0.3-16
haskell-vector 0.12.0.1-11
haskell-vector-algorithms 0.8.0.1-2
haskell-vector-th-unbox 0.2.1.6-13
haskell-void 0.7.2-10
haskell-x509 1.7.5-1
haskell-x509-store 1.6.6-38
haskell-x509-system 1.6.6-67
haskell-x509-validation 1.6.10-38
haskell-yaml 0.11.0.0-3
haskell-zip-archive 0.3.3-11
haskell-zlib 0.6.2-4
hicolor-icon-theme 0.17-1
hlint 2.1.10-42
hspell 1.4-1
http-parser 2.8.1-1
hunspell 1.6.2-1
hunspell-en_US 2018.04.16-5
hwids 20180518-1
hyperv 4.19-1
hyphen 2.8.8-2
iana-etc 20180913-1
icu 63.1-2
id3lib 3.8.3-17
ijs 0.35-1
ilmbase 2.3.0-1
imlib2 1.5.1-1
incidenceeditor 18.08.2-1
inetutils 1.9.4-5
intel-tbb 2019-1
intel-ucode 20180807.a-1
iproute2 4.19.0-1
iptables 1:1.8.0-1
iputils 20180629.f6aac8d-2
iso-codes 3.79-1
iw 4.14-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-environment-common 3-1
java-openjfx 8.u172-2
java-openjfx-doc 8.u172-2
java-openjfx-src 8.u172-2
java-runtime-common 3-1
jbig2dec 0.15-1
jdk10-openjdk 10.0.2.u13-1
jdk8-openjdk 8.u192-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
jre10-openjdk 10.0.2.u13-1
jre10-openjdk-headless 10.0.2.u13-1
jre8-openjdk 8.u192-1
jre8-openjdk-headless 8.u192-1
js 24.2.0-4
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
juk 18.08.2-1
k3b 1:18.08.2-1
kaccounts-integration 18.08.2-1
kaccounts-providers 18.08.2-1
kactivities 5.51.0-1
kactivities-stats 5.51.0-1
kactivitymanagerd 5.14.3-1
kaddressbook 18.08.2-1
kajongg 18.08.2-1
kalarm 18.08.2-1
kalarmcal 18.08.2-1
kalgebra 18.08.2-1
kalzium 18.08.2-1
kamera 18.08.2-1
kanagram 18.08.2-1
kapman 18.08.2-1
kapptemplate 18.08.2-1
karchive 5.51.0-1
kate 18.08.2-1
katomic 18.08.2-1
kauth 5.51.0-1
kbd 2.0.4-1
kblackbox 18.08.2-1
kblocks 18.08.2-1
kblog 18.08.2-1
kbookmarks 5.51.0-1
kbounce 18.08.2-1
kbreakout 18.08.2-1
kbruch 18.08.2-1
kcachegrind 18.08.2-1
kcachegrind-common 18.08.2-1
kcalc 18.08.2-1
kcalcore 18.08.2-1
kcalutils 18.08.2-1
kcharselect 18.08.2-1
kcmutils 5.51.0-1
kcodecs 5.51.0-1
kcolorchooser 18.08.2-1
kcompletion 5.51.0-1
kconfig 5.51.0-1
kconfigwidgets 5.51.0-1
kcontacts 18.08.2-1
kcoreaddons 5.51.0-1
kcrash 5.51.0-1
kcron 18.08.2-1
kdav 18.08.2-1
kdbusaddons 5.51.0-1
kde-cli-tools 5.14.3-1
kde-dev-scripts 18.08.2-1
kde-dev-utils 18.08.2-1
kde-gtk-config 5.14.3-1
kdeaccessibility-jovie 17.08.3-1
kdeaccessibility-kaccessible 17.08.3-1
kdebase-runtime 17.08.3-3
kdebugsettings 18.08.2-1
kdeclarative 5.51.0-1
kdeconnect 1.3.3-1
kdecoration 5.14.3-1
kded 5.51.0-1
kdeedu-data 18.08.2-1
kdegraphics-mobipocket 18.08.2-1
kdegraphics-thumbnailers 18.08.2-1
kdelibs 4.14.38-4
kdelibs4support 5.51.0-1
kdemultimedia-kscd 17.08.3-1
kdenetwork-filesharing 18.08.2-1
kdenetwork-kppp 17.08.3-1
kdenlive 18.08.2-1
kdepim-addons 18.08.2-1
kdepim-apps-libs 18.08.2-1
kdepim-runtime 18.08.2-1
kdepimlibs4 4.14.10-11
kdeplasma-addons 5.14.3-1
kdesdk-kioslaves 18.08.2-1
kdesdk-thumbnailers 18.08.2-1
kdesu 5.51.0-1
kdeutils-kremotecontrol 17.08.3-1
kdevelop 5.3.0-1
kdewebdev-kfilereplace 17.08.3-1
kdewebdev-klinkstatus 17.08.3-1
kdf 18.08.2-1
kdiagram 2.6.1-1
kdialog 18.08.2-1
kdiamond 18.08.2-1
kdnssd 5.51.0-1
kdoctools 5.51.0-1
keditbookmarks 18.08.2-1
kemoticons 5.51.0-1
keyutils 1.5.11-1
kfilemetadata 5.51.0-1
kfind 18.08.2-1
kfloppy 18.08.2-1
kfourinline 18.08.2-1
kgamma5 5.14.3-1
kgeography 18.08.2-1
kget 18.08.2-1
kglobalaccel 5.51.0-1
kgoldrunner 18.08.2-1
kgpg 18.08.2-1
kguiaddons 5.51.0-1
khangman 18.08.2-1
khelpcenter 18.08.2-1
kholidays 1:5.51.0-1
khotkeys 5.14.3-1
khtml 5.51.0-1
ki18n 5.51.0-1
kiconthemes 5.51.0-2
kidentitymanagement 18.08.2-1
kidletime 5.51.0-1
kig 18.08.2-1
kigo 18.08.2-1
killbots 18.08.2-1
kimagemapeditor 18.08.2-1
kimap 18.08.2-1
kinfocenter 5.14.3-1
kinit 5.51.0-1
kio 5.51.0-1
kio-extras 18.08.2-2
kirigami2 5.51.0-1
kiriki 18.08.2-1
kitemmodels 5.51.0-1
kitemviews 5.51.0-1
kiten 18.08.2-1
kitinerary 18.08.2-4
kjobwidgets 5.51.0-1
kjs 5.51.0-1
kjsembed 5.51.0-1
kjumpingcube 18.08.2-1
kldap 18.08.2-1
kleopatra 18.08.2-1
klettres 18.08.2-1
klickety 18.08.2-1
klines 18.08.2-1
kmag 18.08.2-1
kmahjongg 18.08.2-1
kmail 18.08.2-1
kmail-account-wizard 18.08.2-1
kmailtransport 18.08.2-1
kmbox 18.08.2-1
kmenuedit 5.14.3-1
kmime 18.08.2-1
kmines 18.08.2-1
kmix 18.08.2-1
kmod 25-1
kmousetool 18.08.2-1
kmouth 18.08.2-1
kmplot 18.08.2-1
knavalbattle 18.08.2-1
knetattach 5.14.3-1
knetwalk 18.08.2-1
knewstuff 5.51.0-1
knotes 18.08.2-1
knotifications 5.51.0-1
knotifyconfig 5.51.0-1
kolf 18.08.2-1
kollision 18.08.2-1
kolourpaint 18.08.2-1
kompare 18.08.2-1
konqueror 18.08.2-1
konquest 18.08.2-1
konsole 18.08.2-1
kontact 18.08.2-1
kontactinterface 18.08.2-1
kopete 18.08.2-2
korganizer 18.08.2-1
kpackage 5.51.0-1
kparts 5.51.0-1
kpatience 18.08.2-1
kpeople 5.51.0-1
kpimtextedit 18.08.2-1
kpkpass 18.08.2-1
kplotting 5.51.0-1
kpty 5.51.0-1
kqtquickcharts 18.08.2-1
krb5 1.16.1-1
krdc 18.08.2-1
kreversi 18.08.2-1
krfb 18.08.2-1
kross 5.51.0-1
kross-interpreters 18.08.2-1
kruler 18.08.2-1
krunner 5.51.0-1
kscreen 5.14.3-1
kscreenlocker 5.14.3-1
kservice 5.51.0-1
kshisen 18.08.2-1
ksirk 18.08.2-1
ksmtp 18.08.2-1
ksnakeduel 18.08.2-1
kspaceduel 18.08.2-1
ksquares 18.08.2-1
ksshaskpass 5.14.3-1
kstars 1:2.9.8-4
ksudoku 18.08.2-1
ksysguard 5.14.3-1
ksystemlog 18.08.2-1
kteatime 18.08.2-1
ktexteditor 5.51.0-1
ktextwidgets 5.51.0-1
ktimer 18.08.2-1
ktnef 18.08.2-1
ktouch 18.08.2-1
ktuberling 18.08.2-1
kturtle 18.08.2-1
kubrick 18.08.2-1
kunitconversion 5.51.0-1
kvantum-qt5 0.10.8-1
kvantum-theme-arc 20180614-2
kwallet 5.51.0-1
kwallet-pam 5.14.3-1
kwalletmanager 18.08.2-1
kwave 18.08.2-1
kwayland 5.51.0-1
kwayland-integration 5.14.3-1
kwidgetsaddons 5.51.0-1
kwin 5.14.3-1
kwindowsystem 5.51.0-1
kwordquiz 18.08.2-1
kwrite 18.08.2-1
kwrited 5.14.3-1
kxmlgui 5.51.0-1
kxmlrpcclient 5.51.0-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.8.0-2
lash 0.6.0~rc2-12
latex2html 2017.2-2
lcms2 2.9-1
ldb 1:1.3.6-1
ldns 1.7.0-4
less 530-1
lib32-glibc 2.28-5
lib32-ncurses 6.0-2
libabw 0.1.2-1
libaccounts-glib 1.24-1
libaccounts-qt 1.15-2
libaio 0.3.111-1
libakonadi-qt4 1.13.0-14
libao 1.2.2-2
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-4
libatomic_ops 7.6.6-1
libavc1394 0.5.4-3
libblockdev 2.20-1
libbluray 1.0.2-2
libbsd 0.9.1-1
libburn 1.5.0-1
libbytesize 1.4-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcdr 0.1.4-5
libcmis 0.5.1-10
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.8-3
libcurl-compat 7.62.0-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.5-1
libdiscid 0.6.2-1
libdmtx 0.7.4-6
libdmx 1.1.4-1
libdrm 2.4.96-1
libdv 1.0.0-7
libdvdread 6.0.0-1
libe-book 0.1.3-4
libebur128 1.2.4-1
libedit 20180525_3.1-1
libelf 0.174-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.8-1
libevdev 1.6.0-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfakekey 0.3-1
libffi 3.2.1-2
libfontenc 1.1.3-2
libfreehand 0.1.2-1
libgcrypt 1.8.4-1
libgdiplus 5.6-1
libgit2 1:0.27.7-1
libglvnd 1.1.0-1
libgpg-error 1.32-1
libgphoto2 2.5.19-1
libgravatar 18.08.2-1
libgudev 232-1
libgusb 0.3.0-1
libibus 1.5.19-1
libical 3.0.4-2
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.0.5-1
libiec61883 1.2.0-5
